Offer ID,Offer Name,Offer Description,Offer Price,Actual Name,Actual Description,Actual Price,Result
2575021,"Altice One Internet 75, Value TV and Phone","#Altice One delivers:^4K Ultra HD, Voice-Activated Remote<br>Whole home WiFi, Built-in Apps, And more!^Monthly Data Plan: 350 GB^Up to 75 Mbps download^Unlimited Calling",65,Not found,Not found,Not found,NA
2576781,"Altice One Internet 75, Select TV and Phone","#Altice One delivers:^4K Ultra HD, Voice-Activated Remote<br>Smart WiFi with intelligent coverage^Monthly Data Plan: 350 GB^Up to 75 Mbps download^Unlimited Calling",80,Not found,Not found,Not found,NA
2578561,"Altice One Internet 75, Premier TV and Phone","#Altice One delivers:^4K Ultra HD, Voice-Activated Remote<br>Smart WiFi with intelligent coverage^Monthly Data Plan: 350 GB^Up to 75 Mbps download^Unlimited Calling",100,Not found,Not found,Not found,NA
1716251,"Altice One Internet 100 Unlimited Data, Value TV and Phone","#Altice One delivers:^4K Ultra HD, Voice-Activated Remote<br>Whole home WiFi, Built-in Apps, And more!^Unlimited Data^Up to 100 Mbps download^Unlimited Calling",85,Not found,Not found,Not found,NA
1754311,"Altice One Internet 100 Unlimited Data, Select TV and Phone","#Altice One delivers:^4K Ultra HD, Voice-Activated Remote<br>Smart WiFi with intelligent coverage^Unlimited Data^Up to 100 Mbps download^Unlimited Calling",100,Not found,Not found,Not found,NA
1729251,"Altice One Internet 100 Unlimited Data, Premier TV and Phone","#Altice One delivers:^4K Ultra HD, Voice-Activated Remote<br>Smart WiFi with intelligent coverage^Unlimited Data^Up to 100 Mbps download^Unlimited Calling",120,Not found,Not found,Not found,NA
1717871,"Altice One Internet 150 Unlimited Data, Value TV and Phone","#Altice One delivers:^FREE cloud DVR^4K Ultra HD, Voice-Activated Remote<br>Whole home WiFi, Built-in Apps, And more!^Unlimited Data^Up to 150 Mbps download^Unlimited Calling",105,Not found,Not found,Not found,NA
1799181,"Altice One Internet 150 Unlimited Data, Select TV and Phone","#Altice One delivers:^FREE cloud DVR^4K Ultra HD, Voice-Activated Remote<br>Smart WiFi with intelligent coverage^Unlimited Data^Up to 150 Mbps download^Unlimited Calling",120,Not found,Not found,Not found,NA
1736251,"Altice One Internet 150 Unlimited Data, Premier TV and Phone","#Altice One delivers:^FREE cloud DVR^4K Ultra HD, Voice-Activated Remote<br>Smart WiFi with intelligent coverage^Unlimited Data^Up to 150 Mbps download^Unlimited Calling",140,Not found,Not found,Not found,NA
2585551,"Altice One Internet 75, Basic TV and Phone","#Altice One delivers:^4K Ultra HD, Voice-Activated Remote<br>Whole home WiFi, Built-in Apps, And more!^Monthly Data Plan: 350 GB^Up to 75 Mbps download^Unlimited Calling",55,Not found,Not found,Not found,NA
2061381,"Altice One Internet 100 Unlimited Data, Basic TV and Phone","#Altice One delivers:^4K Ultra HD, Voice-Activated Remote<br>Whole home WiFi, Built-in Apps, And more!^Unlimited Data^Up to 100 Mbps download^Unlimited Calling",75,Not found,Not found,Not found,NA
2046641,"Altice One Internet 150 Unlimited Data, Basic TV and Phone","#Altice One delivers:^FREE cloud DVR^4K Ultra HD, Voice-Activated Remote<br>Whole home WiFi, Built-in Apps, And more!^Unlimited Data^Up to 150 Mbps download^Unlimited Calling",95,Not found,Not found,Not found,NA
