Offer ID,Offer Name,Offer Description,Offer Price,Actual Name,Actual Description,Actual Price,Result
1672041,"Altice One Internet 400 Unlimited Data, Value TV and Phone","#Altice One delivers:^4K Ultra HD, Voice-Activated Remote<br>Whole home WiFi, Built-in Apps, And more!^Unlimited Data^Up to 400 Mbps download^Unlimited Calling",85,"Altice One Internet 400 Unlimited Data, Value TV and Phone","#Altice One delivers:^4K Ultra HD, Voice-Activated Remote<br>Whole home WiFi, Built-in Apps, And more!^Unlimited Data^Up to 400 Mbps download^Unlimited Calling",85,Pass
1675271,"Altice One Internet 400 Unlimited Data, Select TV and Phone","#Altice One delivers:^4K Ultra HD, Voice-Activated Remote<br>Smart WiFi with intelligent coverage^Unlimited Data^Up to 400 Mbps download^Unlimited Calling",100,"Altice One Internet 400 Unlimited Data, Select TV and Phone","#Altice One delivers:^4K Ultra HD, Voice-Activated Remote<br>Smart WiFi with intelligent coverage^Unlimited Data^Up to 400 Mbps download^Unlimited Calling",100,Pass
1678531,"Altice One Internet 400 Unlimited Data, Premier TV and Phone","#Altice One delivers:^4K Ultra HD, Voice-Activated Remote<br>Smart WiFi with intelligent coverage^Unlimited Data^Up to 400 Mbps download^Unlimited Calling",120,"Altice One Internet 400 Unlimited Data, Premier TV and Phone","#Altice One delivers:^4K Ultra HD, Voice-Activated Remote<br>Smart WiFi with intelligent coverage^Unlimited Data^Up to 400 Mbps download^Unlimited Calling",120,Pass
1673651,"Altice One Internet 1 Gig Unlimited Data, Value TV and Phone","#Altice One delivers:^FREE cloud DVR^4K Ultra HD, Voice-Activated Remote<br>Whole home WiFi, Built-in Apps, And more!^Unlimited Data^Up to 1 Gig download^Unlimited Calling",105,"Altice One Internet 1 Gig Unlimited Data, Value TV and Phone","#Altice One delivers:^FREE cloud DVR^4K Ultra HD, Voice-Activated Remote<br>Whole home WiFi, Built-in Apps, And more!^Unlimited Data^Up to 1 Gig download^Unlimited Calling",105,Pass
1676891,"Altice One Internet 1 Gig Unlimited Data, Select TV and Phone","#Altice One delivers:^FREE cloud DVR^4K Ultra HD, Voice-Activated Remote<br>Smart WiFi with intelligent coverage^Unlimited Data^Up to 1 Gig download^Unlimited Calling",120,"Altice One Internet 1 Gig Unlimited Data, Select TV and Phone","#Altice One delivers:^FREE cloud DVR^4K Ultra HD, Voice-Activated Remote<br>Smart WiFi with intelligent coverage^Unlimited Data^Up to 1 Gig download^Unlimited Calling",120,Pass
1680171,"Altice One Internet 1 Gig Unlimited Data, Premier TV and Phone","#Altice One delivers:^FREE cloud DVR^4K Ultra HD, Voice-Activated Remote<br>Smart WiFi with intelligent coverage^Unlimited Data^Up to 1 Gig download^Unlimited Calling",140,"Altice One Internet 1 Gig Unlimited Data, Premier TV and Phone","#Altice One delivers:^FREE cloud DVR^4K Ultra HD, Voice-Activated Remote<br>Smart WiFi with intelligent coverage^Unlimited Data^Up to 1 Gig download^Unlimited Calling",140,Pass
2580301,"Altice One Internet 200, Value TV and Phone","#Altice One delivers:^4K Ultra HD, Voice-Activated Remote<br>Whole home WiFi, Built-in Apps, And more!^Monthly Data Plan: 350 GB^Up to 200 Mbps download^Unlimited Calling",65,"Altice One Internet 200, Value TV and Phone","#Altice One delivers:^4K Ultra HD, Voice-Activated Remote<br>Whole home WiFi, Built-in Apps, And more!^Monthly Data Plan: 350 GB^Up to 200 Mbps download^Unlimited Calling",65,Pass
2582051,"Altice One Internet 200, Select TV and Phone","#Altice One delivers:^4K Ultra HD, Voice-Activated Remote<br>Whole home WiFi, Built-in Apps, And more!^Monthly Data Plan: 350 GB^Up to 200 Mbps download^Unlimited Calling",80,"Altice One Internet 200, Select TV and Phone","#Altice One delivers:^4K Ultra HD, Voice-Activated Remote<br>Whole home WiFi, Built-in Apps, And more!^Monthly Data Plan: 350 GB^Up to 200 Mbps download^Unlimited Calling",80,Pass
2583821,"Altice One Internet 200, Premier TV and Phone","#Altice One delivers:^4K Ultra HD, Voice-Activated Remote<br>Whole home WiFi, Built-in Apps, And more!^Monthly Data Plan: 350 GB^Up to 200 Mbps download^Unlimited Calling",100,"Altice One Internet 200, Premier TV and Phone","#Altice One delivers:^4K Ultra HD, Voice-Activated Remote<br>Whole home WiFi, Built-in Apps, And more!^Monthly Data Plan: 350 GB^Up to 200 Mbps download^Unlimited Calling",100,Pass
2587331,"Altice One Internet 200, Basic TV and Phone","#Altice One delivers:^4K Ultra HD, Voice-Activated Remote<br>Whole home WiFi, Built-in Apps, And more!^Monthly Data Plan: 350 GB^Up to 200 Mbps download^Unlimited Calling",55,"Altice One Internet 200, Basic TV and Phone","#Altice One delivers:^4K Ultra HD, Voice-Activated Remote<br>Whole home WiFi, Built-in Apps, And more!^Monthly Data Plan: 350 GB^Up to 200 Mbps download^Unlimited Calling",55,Pass
